"","X","Y","Z"
"109",293.363250732422,75.8886260986328,43.2842597961426
"110",292.649749755859,75.9474868774414,43.302677154541
"111",291.984619140625,75.978385925293,43.3286743164062
"112",291.339141845703,76.0167388916016,43.3560333251953
"113",354.009948730469,76.0134201049805,38.5906295776367
"114",335.487152099609,77.6333389282227,39.7620811462402
"115",334.713165283203,77.6344985961914,39.8773880004883
"116",297.9736328125,79.4351043701172,42.9526672363281
"117",353.998443603516,76.7041625976562,38.6192169189453
"118",333.163787841797,78.3347930908203,40.2169227600098
"119",332.390594482422,78.368766784668,40.3385238647461
"120",314.096008300781,80.2034072875977,42.4266052246094
"121",306.413970947266,80.4991302490234,43.2299003601074
"122",309.192291259766,81.2235107421875,43.1445198059082
"123",308.234405517578,81.162109375,43.1849365234375
