"","FruMARCM-M001205_seg002","GadMARCM-F000122_seg001","GadMARCM-F000050_seg001","GadMARCM-F000142_seg002","FruMARCM-F000270_seg001","FruMARCM-F001115_seg002","FruMARCM-M001051_seg002","GadMARCM-F000423_seg001","ChaMARCM-F000586_seg002","FruMARCM-M001339_seg001","GadMARCM-F000476_seg001","FruMARCM-F000085_seg001","FruMARCM-F000706_seg001","FruMARCM-M000842_seg002","FruMARCM-F001494_seg002","FruMARCM-F000188_seg001","GadMARCM-F000071_seg001","FruMARCM-M000115_seg001","GadMARCM-F000442_seg002","FruMARCM-F001929_seg001"
"GadMARCM-F000476_seg001",427.632417677332,633.829211661643,-410.275034938873,313.202139700224,-168.888508780154,911.694322806919,27.3224220571552,-685.860278190721,1087.4822605244,-164.146396605913,5159.32107765831,1634.2290381908,-498.244872149805,-441.82182170651,497.880811554768,1035.02760598398,1964.19420044043,703.690434537408,1992.22403851212,276.962363518893
"FruMARCM-F000085_seg001",786.650558282172,1280.82696483951,-377.933906631653,713.210613864147,334.732807691036,396.667637898837,-204.529440669967,-187.925821273415,556.840377917568,207.173237697079,1604.6282929572,5204.87799666633,-332.215603402721,-458.083614908722,-83.5121672078578,-515.654889970688,2596.86561002823,1463.56307873892,2154.3877203355,833.676907297959
"FruMARCM-F000706_seg001",-10.0632934881071,328.485602481817,2751.04667035303,204.211596221661,2677.17051615282,2307.64304037928,1830.62435514401,959.809640915947,83.4926275549199,3511.15894103725,-84.5678938543878,123.376794164271,5227.65645617034,3597.8392040709,2696.45180789537,1596.60444965054,437.507385389381,79.0658349103739,223.28578851113,3207.19354431036
"FruMARCM-M000842_seg002",-0.258659493579433,283.941756110189,2847.100043577,196.454286961658,2557.91738175989,1891.30076113725,1823.9895249477,1180.66936032185,70.6796962894007,3409.96987091703,87.0764838694192,165.104133351064,3858.36974338861,5204.87799666633,2510.61914020738,1851.15476691579,409.127773759258,747.65039196204,674.892964136308,2808.67697669228
"FruMARCM-F001494_seg002",350.635493427357,-96.6833685694053,1635.40239725231,481.473656688572,2048.59776275918,3073.79651679743,3161.70533338112,-63.888754562268,590.019715102685,1978.28703958987,386.421369630787,276.469553769095,1692.78706076389,1569.34907735233,5478.21951071445,2334.81176451141,1027.99960873249,-455.613370965044,-44.2317997382609,3188.55865735317
"FruMARCM-F000188_seg001",191.041262665358,-103.000387573119,1731.55065652962,404.04697639952,1726.68701213799,2268.05359815895,1843.59606315513,-177.543088663924,1300.505057637,1888.04201185732,1462.13909482764,83.705966242137,1587.99389940245,1483.90982464794,2920.74574462069,5512.38719997047,568.583517525339,-511.308961140092,175.722380861223,2769.89317976734
"GadMARCM-F000071_seg001",1315.49094482341,1271.46347028259,-514.094604227413,448.151649392045,98.6534522084769,1373.40861750605,491.52270595908,-467.718881905732,370.56821269223,-260.290268862586,1814.25724688314,2748.15283938327,-616.119480000404,-559.085198738787,679.53736907588,-213.528682235543,5637.66872724252,1667.96761263926,2951.02297926818,1067.47037107344
"FruMARCM-M000115_seg001",1896.25877897696,1016.55533791669,-204.793985941762,853.810846296202,-123.154553751867,-149.659903532451,-526.062937443793,760.828160292578,660.281507062476,25.4464180780175,743.99297236736,2217.576849215,-253.925799993011,145.963546109948,-334.047146435025,-808.451163363137,1734.79046408543,5432.66259170643,2867.06277729771,112.474287800836
"GadMARCM-F000442_seg002",1816.77188887183,896.835168728461,-393.661392979324,1007.45651757729,-275.448004781361,423.880839131511,-538.62502758974,275.321185205927,475.05248746168,-38.8103046914754,1456.05697237901,2430.14207764549,-472.980727753795,-421.818076045651,-269.157789982156,-443.723144514816,2451.07903833609,2598.42051526005,5762.95025451458,229.768744931709
"FruMARCM-F001929_seg001",205.962806726673,213.061533003488,1968.02089641624,604.407140000156,2889.61070014115,2799.86580115792,2347.68042182915,255.434420066285,617.768213412769,2411.66353347195,403.299952167521,951.074712692609,2291.92109061523,1928.96384014754,3599.1234950119,2313.16283187048,1484.55421364771,-111.466263239735,503.955760808856,5580.7225784825
